tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000115942	34.0762	35.8893	34.6474	31.9427	22.66	23.976	11.4863	9.2535	10.0587	10.8805
ENSG00000115944	107.664	98.0473	124.707	130.425	118.408	121.967	110.69	100.778	99.8771	64.8401
ENSG00000115946	22.6497	32.2474	17.3143	13.5787	13.4011	14.9378	17.2447	17.0482	8.4486	8.07414
ENSG00000115947	39.9858	42.999	33.7418	35.6678	29.8264	29.9679	36.2803	41.928	17.8917	21.5522
ENSG00000115956	0	0.0100995	0	0	0.0158878	0	0.349043	0.0405025	1.64088	1.77421
ENSG00000115963	11.6889	14.7348	16.533	17.0245	4.06988	4.50363	8.9619	3.75225	23.2381	28.2636
ENSG00000115966	23.6264	23.3018	28.7648	24.1858	28.0064	28.0003	35.7763	28.9125	35.8724	26.698
ENSG00000115970	12.0094	11.0454	12.0689	11.5398	9.17584	10.7551	6.90488	4.99416	13.0387	15.8345
ENSG00000115977	11.9394	9.12811	6.79503	4.64567	8.06818	10.7933	69.8397	47.8038	27.0043	37.4599
ENSG00000115993	4.44913	6.56253	4.10026	3.67071	4.69799	5.40156	13.0857	11.9831	32.3834	22.8164
ENSG00000115998	3.70829	4.45095	4.33452	5.35342	5.69268	5.74937	5.70654	6.6985	4.73441	5.46161
ENSG00000116001	62.1627	64.5041	76.7455	79.4781	98.9889	107.101	63.4537	52.6231	102.661	119.119
ENSG00000116005	25.3164	21.419	32.276	29.8898	27.9815	26.968	46.2236	49.3065	21.3999	18.446
ENSG00000116014	3.94618	2.66377	0.272818	0.250433	0.287564	0.138867	0.393675	2.09982	0	0.0527797
ENSG00000116016	2.37953	2.6075	0.102037	0.0552784	4.35654	3.44644	9.67608	0.731555	21.9818	21.2655
ENSG00000116017	37.2292	37.5624	81.3458	92.3375	61.5943	58.3789	53.3512	49.763	9.24839	10.5972
ENSG00000116030	129.329	156.636	94.6221	81.4898	93.32	93.2558	81.0661	80.5154	48.1585	43.2779
ENSG00000116031	0	0	0	0	0	0	0	0	0	0
ENSG00000116032	0.822769	0.47288	1.42343	3.47973	1.27106	1.09104	0.280528	0.5596	0.135847	0.292552
ENSG00000116035	0	0	0.166742	0.0691878	0.332779	0.0321985	0	0.0369628	0.114252	0.274423
ENSG00000116039	0	0	0.138938	0.04662	0.105611	0.258028	0.0804936	0.124211	0.493826	0.312705
ENSG00000116044	9.46209	9.32342	10.1666	12.449	12.3332	13.308	22.364	20.1844	29.8055	29.7077
ENSG00000116062	119.986	141.154	127.212	120.861	98.0268	107.118	44.0925	49.0829	45.5991	40.4554
ENSG00000116095	5.40862	8.65084	3.9104	5.12036	6.23419	6.28279	12.479	9.74354	6.60085	7.6468
ENSG00000116096	4.87711	7.31219	3.30188	3.39047	4.39195	3.42103	5.95485	8.2968	4.53039	2.75
ENSG00000116106	5.75812	4.31592	25.4343	28.3162	28.477	18.5275	21.132	17.473	42.805	36.3915
ENSG00000116117	1.41266	1.5429	1.98101	1.27234	2.14527	2.12353	3.40176	3.5558	6.96069	10.025
ENSG00000116120	21.3271	27.8047	10.1673	8.12427	12.0715	12.582	11.3968	14.9782	13.1013	12.3748
ENSG00000116127	18.5275	13.4561	13.9659	13.5434	15.5283	18.2396	7.41169	7.96233	18.604	16.9661
ENSG00000116128	19.2083	13.5219	15.7691	12.3144	19.8505	21.8905	15.0837	14.1568	12.6143	13.5678
ENSG00000116132	0.0304242	0.0225782	0	0	4.06405	1.42055	2.19259	0.501925	47.2874	48.5204
ENSG00000116133	182.207	220.265	222.204	195.662	37.3363	25.277	24.0593	49.9234	11.2554	13.3348
ENSG00000116138	12.8011	8.62551	13.0909	12.6029	12.4034	13.5305	18.6858	16.6136	8.43946	9.20946
ENSG00000116141	10.2147	8.34898	4.87331	4.90934	6.58594	7.77744	25.0572	21.1526	16.2246	14.4411
ENSG00000116147	0	0.00210717	0.14897	0.329312	0.00667332	0.00962108	0.0764954	0.0333454	0.0100813	0.116213
ENSG00000116151	3.09128	3.16352	6.66612	7.96023	7.6927	8.32786	5.62093	5.49813	5.15074	7.32122
ENSG00000116157	5.82995	7.21234	16.1368	17.6782	27.8447	24.5481	33.0179	43.7039	43.6059	55.8831
